,,,,,"Q6. How many persons did the company employ at 31 December 2012?  Include full-time and part-time employees, and all permanent, contract, temporary and casual employees.",,,,,,Q9. What type of occupational skills does the company experience as currently being in short supply in the Victorian ICT industry?,,,,,,,,,,,,,,,,,Q11. What proportion of the company’s total revenue in 2012 was in the following markets? Total = 100%,,,,,,,,,Q17. What products and services has the company exported in the past two years? Select one or more responses.,,,,,,,,,,,Q18. To what regions does the company currently export ICT products and services?,,,,,,,,,,,,"Q19. List the five countries from which your company currently generates the highest export revenue from ICT products and services.Please rank from 1 (highest) to 5 (5th highest) by approximate dollar value of exports. You need only list the country, not the export value. ",,,,,Q20. List up to five countries that are anticipated to be the company's main export destinations in 2015? Please rank from 1 (highest) to 5 (5th highest) by estimated dollar value of exports.,,,,,,,Q23. Please rate each of the following factors on the extent to which it is an enabler of growth or a barrier to growth for the Victorian ICT industry.,,,,,,,,,,,,,,,,,
Record,Q2. What sector of the ICT industry is the company mainly in?,Q3. What is the company's ownership structure?,Q4. Where is the company’s headquarters located?,Q5. How many years has the company been operating in Victoria?,In Victoria (permanent employees),"In Victoria (contract, temporary and casual employees)",Interstate,Overseas,Q7. Does the company expect the number of persons employed to change in the next two years?,Q8. Is the company able to access the skills needed for its current operations?,ICT managers,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers","Technicians – ICT, telecommunications and electronics","Trades workers – Electrotechnology, electronics and  telecommunications",ICT sales,ICT trainers,Research and development,"Business management, human resources and other support functions",Company not currently experiencing skills as being in short supply,Other,Q10. What was the company’s total revenue in 2012 ($AU)?,Victorian sales,Interstate sales,Offshore operations,Overseas exports,Q12. Was the company profitable in 2012?,Q13. Did the company’s 2012 profit outcome meet expectations?,Q14. How does the company expect its profitability to change in the next two years?  	,Q15. How does the company expect the profitability of the Victorian ICT industry to change in the next two years?,Q16. Does the company export ICT products and services?,Computer hardware,"Other ICT and telecommunications equipment, parts and components",Computer software,Computer services,Internet and web design,Internet publishing and broadcasting,Information storage and retrieval,Hardware and software maintenance,Telecommunications services,Wholesale and retail trade margins,Other,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,Other,Export Destination 1,Export Destination 2,Export Destination 3,Export Destination 4,Export Destination 5,Export Destination 1,Export Destination 2,Export Destination 3,Export Destination 4,Export Destination 5,"Q21. In the past 12 months, what has been the main focus of the company’s innovation activities?",Q22. What percentage of the company’s gross annual revenue in Victoria is spent on R&D?,Domestic economic environment,Cost of doing business/input costs,Availability of skilled employees,Access to finance,Cost of R&D,Level of Commonwealth R&D tax credit/incentive,NBN as a driver of products and services,Cloud infrastructure as a driver of products and services,Data as a service as a driver of products and services,Ease of implementing innovation,Ability to collaborate in the ICT industry,Commonwealth/State Government regulation,Access to Commonwealth/State Government purchasing markets,Global economic environment,Exchange rates,Competition from imports in domestic markets,Access to export markets,Market intelligence about export opportunities
1,Computer software publishing,Privately owned (100% Australian),Regional Victoria,5 to 9 years,,2,,,Stay the same,Yes,,ICT professionals,,,,,,,,,ICT sales,,,,,,"$0 to $199,999",100,,,,No,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,30,Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Enabler,Major Enabler,Major Enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
2,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,,,4,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",10,10,80,,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,,,,,Developing new products and services,0,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler
3,Manufacturing – ICT equipment,Privately owned (up to 49% foreign owned),Metropolitan Melbourne,2 to 4 years,3,1,,4,Increase,Yes,,,,,,,,"Software engineers, testers and app programmers",,,,,,,,Other,"$200,000 to $499,999",,,,100,No,No,Increase,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,,South Asia,,,,,North America,,,,,China,Singapore,USA,,,China,USA,Singapore,Turkey,UK,,,,,,,,,,,,,,,,,,,,
5,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,,,,Stay the same,Yes,,,,,,,,,,,,,,,,Other,"$0 to $199,999",80,,,20,Yes,No,Increase,Stay the same,Regularly,,,,Computer services,,,,,,,Other,,East Asia,,,Eastern Europe and Russia,Western Europe,,North America,,,,,USA,,,,,USA,EU,Japan,,,Developing new products and services,10,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Not Applicable,Major Barrier,Not Applicable,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Not Applicable,Enabler,Major Barrier
6,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,5 to 9 years,1,,,,Stay the same,Yes,,,,Developer programmers,,,,,,,,,,,,,"$0 to $199,999",85,15,,,No,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,0,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
8,Systems analysis and computer programming,Privately owned (100% Australian),Regional Victoria,5 to 9 years,4,2,,1,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",15,,,85,Yes,Yes,Stay the same,Stay the same,Regularly,,,Computer software,,Internet and web design,,,,,,,,,,,,Western Europe,,,,,,,Germany,,,,,Germany,,,,,Customising/modifying existing products and services,0,Not Applicable,Barrier,Enabler,Not Applicable,Not Applicable,Not Applicable,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Neither a barrier nor an enabler,Major Enabler,Not Applicable,Not Applicable,Not Applicable
10,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,6,6,10,2,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics",,ICT sales,,,,,Other,"$1,000,000 to $4,999,999",30,50,10,10,Yes,No,Increase,Stay the same,Regularly,,,Computer software,,,,,Hardware and software maintenance,,,,South East Asia,,,,,,,North America,,,Oceania and Pacific Islands,,New Zealand,USA,Indonesia,Hong Kong,,New Zealand,UK,USA,Indonesia,Hong Kong,Customising/modifying existing products and services,15,Enabler,Enabler,Barrier,Barrier,Barrier,Major Enabler,Enabler,Enabler,Major Enabler,Enabler,Major Enabler,Enabler,Major Enabler,Enabler,Enabler,Barrier,Major Enabler,Major Enabler
11,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,3,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",40,60,,,Yes,Yes,Increase,Increase,Irregularly,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,10,Enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier
